From Point,To Point,Distance (km),Fare (BDT)
Badda,Notun Bazar,2.1,10
Badda,Kuril Bishwaroad,4.7,12
Badda,Khilkhet,5.7,14
Badda,Airport,8.5,21
Badda,Abdullahpur,12.2,30
Badda,Kamarpara,14.4,35
Badda,Dhour,17.7,43
Notun Bazar,Notun Bazar,0,0
Notun Bazar,Kuril Bishwaroad,2.6,10
Notun Bazar,Khilkhet,3.6,10
Notun Bazar,Airport,6.4,16
Notun Bazar,Abdullahpur,10.1,25
Notun Bazar,Kamarpara,12.3,30
Notun Bazar,Dhour,15.6,38
Kuril Bishwaroad,Kuril Bishwaroad,0,0
Kuril Bishwaroad,Khilkhet,1,10
Kuril Bishwaroad,Airport,3.8,10
Kuril Bishwaroad,Abdullahpur,7.5,18
Kuril Bishwaroad,Kamarpara,9.7,24
Kuril Bishwaroad,Dhour,13,32
Khilkhet,Khilkhet,0,0
Khilkhet,Airport,2.8,10
Khilkhet,Abdullahpur,6.5,16
Khilkhet,Kamarpara,8.7,21
Khilkhet,Dhour,12,29
Airport,Airport,0,0
Airport,Abdullahpur,3.7,10
Airport,Kamarpara,5.9,14
Airport,Dhour,9.2,23
Abdullahpur,Abdullahpur,0,0
Abdullahpur,Kamarpara,2.2,10
Abdullahpur,Dhour,5.5,13
Kamarpara,Kamarpara,0,0
Kamarpara,Dhour,3.3,10
Dhour,Dhour,0,0
Kanchpur,Kanchpur,0,0
Kanchpur,Hanif Flyover,14,34
Kanchpur,Polashi,17,42
Kanchpur,Azimpur (Dhakeswari),17.5,43
Kanchpur,Kalabagan,20.5,50
Kanchpur,Shyamoli,23.5,58
Kanchpur,Gabtoli,26.2,64
Kanchpur,Savar,40.2,98
Kanchpur,Nabinagar,48.7,119
Kanchpur,Islampur,51.8,127
Kanchpur,Kalampur,59.3,145
Kanchpur,Manikganj,77.2,189
Kanchpur,Baniajuri,84.3,207
Kanchpur,Borongail,90.3,221
Kanchpur,Utholi,96.9,237
Kanchpur,Paturia,104.5,256
Hanif Flyover,Hanif Flyover,0,0
Hanif Flyover,Polashi,3,10
Hanif Flyover,Azimpur (Dhakeswari),3.5,10
Hanif Flyover,Kalabagan,6.5,10
Hanif Flyover,Shyamoli,9.5,16
Hanif Flyover,Gabtoli,12.2,23
Hanif Flyover,Savar,26.2,64
Hanif Flyover,Nabinagar,34.7,78
Hanif Flyover,Islampur,37.8,85
Hanif Flyover,Kalampur,45.3,104
Hanif Flyover,Manikganj,63.2,147
Hanif Flyover,Baniajuri,70.3,165
Hanif Flyover,Borongail,76.3,187
Hanif Flyover,Utholi,82.9,203
Hanif Flyover,Paturia,90.5,214
Polashi,Polashi,0,0
Polashi,Azimpur (Dhakeswari),0.5,10
Polashi,Kalabagan,3.5,10
Polashi,Shyamoli,6.5,16
Polashi,Gabtoli,9.2,21
Polashi,Savar,23.2,57
Polashi,Nabinagar,31.7,76
Polashi,Islampur,34.8,84
Polashi,Kalampur,42.3,102
Polashi,Manikganj,60.2,146
Polashi,Baniajuri,67.3,164
Polashi,Borongail,73.3,178
Polashi,Utholi,79.9,195
Polashi,Paturia,87.5,213
Azimpur (Dhakeswari),Azimpur (Dhakeswari),0,0
Azimpur (Dhakeswari),Kalabagan,3,10
Azimpur (Dhakeswari),Shyamoli,6,15
Azimpur (Dhakeswari),Gabtoli,8.7,21
Azimpur (Dhakeswari),Savar,22.7,56
Azimpur (Dhakeswari),Nabinagar,31.2,76
Azimpur (Dhakeswari),Islampur,34.3,83
Azimpur (Dhakeswari),Kalampur,41.8,101
Azimpur (Dhakeswari),Manikganj,59.7,145
Azimpur (Dhakeswari),Baniajuri,66.8,163
Azimpur (Dhakeswari),Borongail,72.8,178
Azimpur (Dhakeswari),Utholi,79.4,194
Azimpur (Dhakeswari),Paturia,87,212
Kalabagan,Kalabagan,0,0
Kalabagan,Shyamoli,3,10
Kalabagan,Gabtoli,5.7,14
Kalabagan,Savar,19.7,48
Kalabagan,Nabinagar,28.2,69
Kalabagan,Islampur,31.3,77
Kalabagan,Kalampur,38.8,95
Kalabagan,Manikganj,56.7,139
Kalabagan,Baniajuri,63.8,156
