From Point,To Point,Distance (km),Fare (BDT)
Mohakhali,New Airport,10.2,25
Mohakhali,Rajlaxmi,11.7,29
Mohakhali,House Building,13.5,33
Titumir College,Titumir College,0,0
Titumir College,Gulshan-1,1,10
Titumir College,Madhyabadda,1.9,10
Titumir College,Uttarbadda,3.1,10
Titumir College,Notun Bazar,3.3,10
Titumir College,Bashundhara,5.2,13
Titumir College,Nadda,5.8,12
Titumir College,Kuril Bishwaroad,6.3,13
Titumir College,Khilkhet,6.8,14
Titumir College,New Airport,9.4,23
Titumir College,Rajlaxmi,10.9,27
Titumir College,House Building,12.7,31
Gulshan-1,Gulshan-1,0,0
Gulshan-1,Madhyabadda,0.9,10
Gulshan-1,Uttarbadda,2.1,10
Gulshan-1,Notun Bazar,2.3,10
Gulshan-1,Bashundhara,4.2,10
Gulshan-1,Nadda,4.8,12
Gulshan-1,Kuril Bishwaroad,5.3,11
Gulshan-1,Khilkhet,5.8,12
Gulshan-1,New Airport,8.4,21
Gulshan-1,Rajlaxmi,9.9,24
Gulshan-1,House Building,11.7,29
Madhyabadda,Madhyabadda,0,0
Madhyabadda,Uttarbadda,1.2,10
Madhyabadda,Notun Bazar,1.4,10
Madhyabadda,Bashundhara,3.3,10
Madhyabadda,Nadda,3.9,10
Madhyabadda,Kuril Bishwaroad,4.4,10
Madhyabadda,Khilkhet,4.9,10
Madhyabadda,New Airport,7.5,18
Madhyabadda,Rajlaxmi,9,22
Madhyabadda,House Building,10.8,26
Uttarbadda,Uttarbadda,0,0
Uttarbadda,Notun Bazar,0.2,10
Uttarbadda,Bashundhara,2.1,10
Uttarbadda,Nadda,2.7,10
Uttarbadda,Kuril Bishwaroad,3.2,10
Uttarbadda,Khilkhet,3.7,10
Uttarbadda,New Airport,6.3,15
Uttarbadda,Rajlaxmi,7.8,19
Uttarbadda,House Building,9.6,23
Notun Bazar,Notun Bazar,0,0
Notun Bazar,Bashundhara,1.9,10
Notun Bazar,Nadda,2.5,10
Notun Bazar,Kuril Bishwaroad,3,10
Notun Bazar,Khilkhet,3.5,10
Notun Bazar,New Airport,6.1,15
Notun Bazar,Rajlaxmi,7.6,19
Notun Bazar,House Building,9.4,23
Bashundhara,Bashundhara,0,0
Bashundhara,Nadda,0.6,10
Bashundhara,Kuril Bishwaroad,1.1,10
Bashundhara,Khilkhet,1.6,10
Bashundhara,New Airport,4.2,10
Bashundhara,Rajlaxmi,5.7,14
Bashundhara,House Building,7.5,18
Nadda,Nadda,0,0
Nadda,Kuril Bishwaroad,0.5,10
Nadda,Khilkhet,1,10
Nadda,New Airport,3.6,10
Nadda,Rajlaxmi,5.1,12
Nadda,House Building,6.9,17
Kuril Bishwaroad,Kuril Bishwaroad,0,0
Kuril Bishwaroad,Khilkhet,0.5,10
Kuril Bishwaroad,New Airport,3.1,11
Kuril Bishwaroad,Rajlaxmi,4.6,10
Kuril Bishwaroad,House Building,6.4,16
Khilkhet,Khilkhet,0,0
Khilkhet,New Airport,2.6,10
Khilkhet,Rajlaxmi,4.1,10
Khilkhet,House Building,5.9,14
New Airport,New Airport,0,0
New Airport,Rajlaxmi,1.5,10
New Airport,House Building,3.3,10
Rajlaxmi,Rajlaxmi,0,0
Rajlaxmi,House Building,1.8,10
House Building,House Building,0,0
Babu Bazar Bridge,Babu Bazar Bridge,0,0
Babu Bazar Bridge,Phulbaria,3,10
Babu Bazar Bridge,Paltan,8,10
Babu Bazar Bridge,Rajmoni,5,10
Babu Bazar Bridge,Malibagh,6.2,15
Babu Bazar Bridge,Mowchak,6.6,10
Babu Bazar Bridge,Abul Hotel,7.6,11
Babu Bazar Bridge,TV Center,8.6,14
Babu Bazar Bridge,Madhyabadda,10.6,26
Babu Bazar Bridge,Notun Bazar,12.6,31
Babu Bazar Bridge,Kuril Bishwaroad,15.1,37
Babu Bazar Bridge,Airport,18.7,46
Babu Bazar Bridge,Azampur,21.2,52
Babu Bazar Bridge,Abdullahpur,22.2,47
Babu Bazar Bridge,Dhour Bridge,25.2,62
Phulbaria,Phulbaria,0,0
Phulbaria,Paltan,5,10
Phulbaria,Rajmoni,2,12
Phulbaria,Malibagh,3.2,10
Phulbaria,Mowchak,3.6,16
Phulbaria,Abul Hotel,4.6,19
Phulbaria,TV Center,5.6,21
Phulbaria,Madhyabadda,7.6,19
Phulbaria,Notun Bazar,9.6,24
Phulbaria,Kuril Bishwaroad,12.1,30
Phulbaria,Airport,15.7,38
Phulbaria,Azampur,18.2,45
Phulbaria,Abdullahpur,19.2,54
Phulbaria,Dhour Bridge,22.2,54
Paltan,Paltan,0,0
Paltan,Rajmoni,3,10
Paltan,Malibagh,1.8,10
Paltan,Mowchak,1.4,10
Paltan,Abul Hotel,0.4,10
Paltan,TV Center,1.4,11
Paltan,Madhyabadda,3.4,16
Paltan,Notun Bazar,5.4,21
Paltan,Kuril Bishwaroad,7.9,27
Paltan,Airport,11.5,36
Paltan,Azampur,14,42
Paltan,Abdullahpur,15,45
Paltan,Dhour Bridge,18,52
Rajmoni,Rajmoni,0,0
Rajmoni,Malibagh,1.2,10
Rajmoni,Mowchak,1.6,10
Rajmoni,Abul Hotel,2.6,10
Rajmoni,TV Center,3.6,10
Rajmoni,Madhyabadda,5.6,14
Rajmoni,Notun Bazar,7.6,19
Rajmoni,Kuril Bishwaroad,10.1,25
Rajmoni,Airport,13.7,34
Rajmoni,Azampur,16.2,40
Rajmoni,Abdullahpur,17.2,42
Rajmoni,Dhour Bridge,20.2,49
Malibagh,Malibagh,0,0
Malibagh,Mowchak,0.4,10
Malibagh,Abul Hotel,1.4,10
Malibagh,TV Center,2.4,10
Malibagh,Madhyabadda,4.4,11
Malibagh,Notun Bazar,6.4,16
Malibagh,Kuril Bishwaroad,8.9,22
Malibagh,Airport,12.5,31
Malibagh,Azampur,15,37
Malibagh,Abdullahpur,16,39
Malibagh,Dhour Bridge,19,47
Mowchak,Mowchak,0,0
Mowchak,Abul Hotel,1,10
Mowchak,TV Center,2,10
Mowchak,Madhyabadda,4,10
Mowchak,Notun Bazar,6,15
Mowchak,Kuril Bishwaroad,8.5,21
Mowchak,Airport,12.1,30
Mowchak,Azampur,14.6,36
Mowchak,Abdullahpur,15.6,38
Mowchak,Dhour Bridge,18.6,46
Abul Hotel,Abul Hotel,0,0
Abul Hotel,TV Center,1,10
Abul Hotel,Madhyabadda,3,10
Abul Hotel,Notun Bazar,5,12
Abul Hotel,Kuril Bishwaroad,7.5,18
Abul Hotel,Airport,11.1,27
Abul Hotel,Azampur,13.6,33
Abul Hotel,Abdullahpur,14.6,36
Abul Hotel,Dhour Bridge,17.6,43
TV Center,TV Center,0,0
TV Center,Madhyabadda,2,10
TV Center,Notun Bazar,4,10
TV Center,Kuril Bishwaroad,6.5,16
TV Center,Airport,10.1,25
TV Center,Azampur,12.6,31
TV Center,Abdullahpur,13.6,33
TV Center,Dhour Bridge,16.6,41
Madhyabadda,Madhyabadda,0,0
Madhyabadda,Notun Bazar,2,10
Madhyabadda,Kuril Bishwaroad,4.5,11
Madhyabadda,Airport,8.1,20
Madhyabadda,Azampur,10.6,26
Madhyabadda,Abdullahpur,11.6,28
Madhyabadda,Dhour Bridge,14.6,36
Notun Bazar,Notun Bazar,0,0
Notun Bazar,Kuril Bishwaroad,2.5,10
Notun Bazar,Airport,6.1,15
Notun Bazar,Azampur,8.6,21
Notun Bazar,Abdullahpur,9.6,24
Notun Bazar,Dhour Bridge,12.6,31
Kuril Bishwaroad,Kuril Bishwaroad,0,0
Kuril Bishwaroad,Airport,3.6,10
Kuril Bishwaroad,Azampur,6.1,15
Kuril Bishwaroad,Abdullahpur,7.1,17
Kuril Bishwaroad,Dhour Bridge,10.1,25
Airport,Airport,0,0
Airport,Azampur,2.5,10
Airport,Abdullahpur,3.5,10
Airport,Dhour Bridge,6.5,16
Azampur,Azampur,0,0
Azampur,Abdullahpur,1,10
Azampur,Dhour Bridge,4,10
Abdullahpur,Abdullahpur,0,0
Abdullahpur,Dhour Bridge,3,10
Dhour Bridge,Dhour Bridge,0,0
Savar,Savar,0,0
Savar,Hemayetpur,6.7,16
Savar,Gabtoli,14.3,35
Savar,Technical,15.3,37
Savar,Mohakhali,23,56
Savar,Gulshan-1,25.6,63
Savar,Notun Bazar,27.8,68
Hemayetpur,Hemayetpur,0,0
Hemayetpur,Gabtoli,7.6,19
Hemayetpur,Technical,8.6,21
Hemayetpur,Mohakhali,16.3,40
Hemayetpur,Gulshan-1,18.9,46
Hemayetpur,Notun Bazar,21.1,52
Gabtoli,Gabtoli,0,0
Gabtoli,Technical,1,10
Gabtoli,Mohakhali,8.7,21
Gabtoli,Gulshan-1,11.3,28
Gabtoli,Notun Bazar,13.5,33
Technical,Technical,0,0
Technical,Mohakhali,7.7,19
Technical,Gulshan-1,10.3,25
Technical,Notun Bazar,12.5,31
Mohakhali,Mohakhali,0,0
Mohakhali,Gulshan-1,2.6,10
Mohakhali,Notun Bazar,4.8,12
Gulshan-1,Gulshan-1,0,0
Gulshan-1,Notun Bazar,2.2,10
Notun Bazar,Notun Bazar,0,0
Mirpur-14,Mirpur-14,0,0
Mirpur-14,Mirpur-10,2.3,10
Mirpur-14,Mirpur-1,4.2,10
Mirpur-14,Priangan Gate,4.8,12
Mirpur-14,Eastern Housing,9,22
Mirpur-14,Dhour,17.5,43
Mirpur-14,Jirab,23,56
Mirpur-14,Fantasy,27.2,67
Mirpur-14,Baipail,29.5,72
Mirpur-14,EPZ,31,76
Mirpur-14,Jiranee,36,88
Mirpur-14,Nandan Park,40,98
Mirpur-14,Chandra,42.5,104
Mirpur-10,Mirpur-10,0,0
Mirpur-10,Mirpur-1,1.9,10
Mirpur-10,Priangan Gate,2.5,10
Mirpur-10,Eastern Housing,6.7,16
Mirpur-10,Dhour,15.2,37
Mirpur-10,Jirab,20.7,51
Mirpur-10,Fantasy,24.9,61
Mirpur-10,Baipail,27.2,67
Mirpur-10,EPZ,28.7,70
Mirpur-10,Jiranee,33.7,83
Mirpur-10,Nandan Park,37.7,92
Mirpur-10,Chandra,40.2,98
Mirpur-1,Mirpur-1,0,0
Mirpur-1,Priangan Gate,0.6,10
Mirpur-1,Eastern Housing,4.8,12
Mirpur-1,Dhour,13.3,33
Mirpur-1,Jirab,18.8,46
Mirpur-1,Fantasy,23,56
Mirpur-1,Baipail,25.3,62
Mirpur-1,EPZ,26.8,66
Mirpur-1,Jiranee,31.8,78
Mirpur-1,Nandan Park,35.8,88
Mirpur-1,Chandra,38.3,94
Priangan Gate,Priangan Gate,0,0
Priangan Gate,Eastern Housing,4.2,10
Priangan Gate,Dhour,12.7,31
Priangan Gate,Jirab,18.2,45
Priangan Gate,Fantasy,22.4,55
Priangan Gate,Baipail,24.7,61
Priangan Gate,EPZ,26.2,64
Priangan Gate,Jiranee,31.2,76
Priangan Gate,Nandan Park,35.2,86
Priangan Gate,Chandra,37.7,92
Eastern Housing,Eastern Housing,0,0
Eastern Housing,Dhour,8.5,21
Eastern Housing,Jirab,14,34
Eastern Housing,Fantasy,18.2,45
Eastern Housing,Baipail,20.5,50
Eastern Housing,EPZ,22,54
Eastern Housing,Jiranee,27,66
Eastern Housing,Nandan Park,31,76
Eastern Housing,Chandra,33.5,82
Dhour,Dhour,0,0
Dhour,Jirab,5.5,13
Dhour,Fantasy,9.7,24
Dhour,Baipail,12,29
Dhour,EPZ,13.5,33
Dhour,Jiranee,18.5,45
Dhour,Nandan Park,22.5,55
Dhour,Chandra,25,61
Jirab,Jirab,0,0
Jirab,Fantasy,4.2,10
Jirab,Baipail,6.5,16
Jirab,EPZ,8,20
Jirab,Jiranee,13,32
Jirab,Nandan Park,17,42
Jirab,Chandra,19.5,48
Fantasy,Fantasy,0,0
Fantasy,Baipail,2.3,10
Fantasy,EPZ,3.8,10
Fantasy,Jiranee,8.8,22
Fantasy,Nandan Park,12.8,31
Fantasy,Chandra,15.3,37
Baipail,Baipail,0,0
Baipail,EPZ,1.5,10
Baipail,Jiranee,6.5,16
Baipail,Nandan Park,10.5,26
Baipail,Chandra,13,32
EPZ,EPZ,0,0
EPZ,Jiranee,5,12
EPZ,Nandan Park,9,22
EPZ,Chandra,11.5,28
Jiranee,Jiranee,0,0
Jiranee,Nandan Park,4,10
Jiranee,Chandra,6.5,16
Nandan Park,Nandan Park,0,0
Nandan Park,Chandra,2.5,10
Chandra,Chandra,0,0
EPZ,EPZ,0,0
EPZ,Gabtoli,25.9,63
EPZ,Kalyanpur,28.3,69
EPZ,College Gate,29.6,73
EPZ,Farmgate,32.4,79
EPZ,Bangladesh Bank,38,93
EPZ,Sayedabad,40,98
EPZ,Link Road,46.2,113
Gabtoli,Gabtoli,0,0
Gabtoli,Kalyanpur,2.4,10
Gabtoli,College Gate,3.7,10
Gabtoli,Farmgate,6.5,16
Gabtoli,Bangladesh Bank,12.1,30
Gabtoli,Sayedabad,14.1,35
Gabtoli,Link Road,20.3,50
Kalyanpur,Kalyanpur,0,0
Kalyanpur,College Gate,1.3,10
Kalyanpur,Farmgate,4.1,10
Kalyanpur,Bangladesh Bank,9.7,24
Kalyanpur,Sayedabad,11.7,29
Kalyanpur,Link Road,17.9,44
College Gate,College Gate,0,0
College Gate,Farmgate,2.8,10
College Gate,Bangladesh Bank,8.4,21
College Gate,Sayedabad,10.4,25
College Gate,Link Road,16.6,41
Farmgate,Farmgate,0,0
Farmgate,Bangladesh Bank,5.6,14
Farmgate,Sayedabad,7.6,19
Farmgate,Link Road,13.8,34
Bangladesh Bank,Bangladesh Bank,0,0
Bangladesh Bank,Sayedabad,2,10
Bangladesh Bank,Link Road,8.2,20
Sayedabad,Sayedabad,0,0
Sayedabad,Link Road,6.2,15
Link Road,Link Road,0,0
EPZ,EPZ,0,0
EPZ,Savar,12.8,31
EPZ,Gabtoli,25.9,63
EPZ,Kalyanpur,28.3,69
EPZ,College Gate,29.6,73
EPZ,Farmgate,32.4,79
EPZ,Bangla Motor,34,83
EPZ,Mogbazar,35,86
EPZ,Malibagh,36.3,89
EPZ,Basabo,38.7,95
EPZ,Janapath,41.7,102
EPZ,Jatrabari,42.3,104
EPZ,Narayanganj Link Road,47.5,116
Savar,Savar,0,0
Savar,Gabtoli,13.1,32
Savar,Kalyanpur,15.5,38
Savar,College Gate,16.8,41
Savar,Farmgate,19.6,48
Savar,Bangla Motor,21.2,52
Savar,Mogbazar,22.2,54
Savar,Malibagh,23.5,58
Savar,Basabo,25.9,63
Savar,Janapath,28.9,71
Savar,Jatrabari,29.5,72
Savar,Narayanganj Link Road,34.7,85
Gabtoli,Gabtoli,0,0
Gabtoli,Kalyanpur,2.4,10
Gabtoli,College Gate,3.7,10
Gabtoli,Farmgate,6.5,16
Gabtoli,Bangla Motor,8.1,20
Gabtoli,Mogbazar,9.1,22
Gabtoli,Malibagh,10.4,25
Gabtoli,Basabo,12.8,31
Gabtoli,Janapath,15.8,39
Gabtoli,Jatrabari,16.4,40
Gabtoli,Narayanganj Link Road,21.6,53
Kalyanpur,Kalyanpur,0,0
Kalyanpur,College Gate,1.3,10
Kalyanpur,Farmgate,4.1,10
Kalyanpur,Bangla Motor,5.7,14
Kalyanpur,Mogbazar,6.7,16
Kalyanpur,Malibagh,8,20
Kalyanpur,Basabo,10.4,25
Kalyanpur,Janapath,13.4,33
Kalyanpur,Jatrabari,14,34
Kalyanpur,Narayanganj Link Road,19.2,47
College Gate,College Gate,0,0
College Gate,Farmgate,2.8,10
College Gate,Bangla Motor,4.4,14
College Gate,Mogbazar,5.4,16
College Gate,Malibagh,6.7,20
College Gate,Basabo,9.1,22
College Gate,Janapath,12.1,30
College Gate,Jatrabari,12.7,31
College Gate,Narayanganj Link Road,17.9,44
Farmgate,Farmgate,0,0
Farmgate,Bangla Motor,1.6,10
Farmgate,Mogbazar,2.6,10
Farmgate,Malibagh,3.9,10
Farmgate,Basabo,6.3,15
Farmgate,Janapath,9.3,23
Farmgate,Jatrabari,9.9,24
Farmgate,Narayanganj Link Road,15.1,37
Bangla Motor,Bangla Motor,0,0
Bangla Motor,Mogbazar,1,10
Bangla Motor,Malibagh,2.3,10
Bangla Motor,Basabo,4.7,12
Bangla Motor,Janapath,7.7,19
Bangla Motor,Jatrabari,8.3,20
Bangla Motor,Narayanganj Link Road,13.5,33
Mogbazar,Mogbazar,0,0
Mogbazar,Malibagh,1.3,10
Mogbazar,Basabo,3.7,10
Mogbazar,Janapath,6.7,16
Mogbazar,Jatrabari,7.3,18
Mogbazar,Narayanganj Link Road,12.5,31
Malibagh,Malibagh,0,0
Malibagh,Basabo,2.4,10
Malibagh,Janapath,5.4,13
Malibagh,Jatrabari,6,15
Malibagh,Narayanganj Link Road,11.2,27
Basabo,Basabo,0,0
Basabo,Janapath,3,10
Basabo,Jatrabari,3.6,10
Basabo,Narayanganj Link Road,8.8,22
Janapath,Janapath,0,0
Janapath,Jatrabari,0.6,10
Janapath,Narayanganj Link Road,5.8,14
Jatrabari,Jatrabari,0,0
Jatrabari,Narayanganj Link Road,5.2,13
Narayanganj Link Road,Narayanganj Link Road,0,0
Savar,Savar,0,0
Savar,Gabtoli,13.8,34
Savar,Mirpur-1,16.9,41
Savar,Mirpur-10,18.8,46
Savar,Mohakhali,26.3,64
Savar,Gulshan-1,28.7,70
Savar,Banasree,35,86
Savar,Amulia Staff Quarter,43,105
Gabtoli,Gabtoli,0,0
Gabtoli,Mirpur-1,3.1,10
Gabtoli,Mirpur-10,5,12
Gabtoli,Mohakhali,12.5,31
Gabtoli,Gulshan-1,14.9,37
Gabtoli,Banasree,21.2,52
Gabtoli,Amulia Staff Quarter,29.2,72
Mirpur-1,Mirpur-1,0,0
Mirpur-1,Mirpur-10,1.9,10
Mirpur-1,Mohakhali,9.4,23
Mirpur-1,Gulshan-1,11.8,29
Mirpur-1,Banasree,18.1,44
Mirpur-1,Amulia Staff Quarter,26.1,64
Mirpur-10,Mirpur-10,0,0
Mirpur-10,Mohakhali,7.5,18
Mirpur-10,Gulshan-1,9.9,24
Mirpur-10,Banasree,16.2,40
Mirpur-10,Amulia Staff Quarter,24.2,59
Mohakhali,Mohakhali,0,0
Mohakhali,Gulshan-1,2.4,10
Mohakhali,Banasree,8.7,21
Mohakhali,Amulia Staff Quarter,16.7,41
Gulshan-1,Gulshan-1,0,0
Gulshan-1,Banasree,6.3,15
Gulshan-1,Amulia Staff Quarter,14.3,35
Banasree,Banasree,0,0
Banasree,Amulia Staff Quarter,8,20
Amulia Staff Quarter,Amulia Staff Quarter,0,0
Tongi,Tongi,0,0
Tongi,Azampur,7.4,18
Tongi,Mohakhali,19,47
Tongi,Farmgate,21.5,53
Tongi,Manik Mia,23.3,57
Tongi,City College,25.4,62
Tongi,Nilkhet,26.5,65
Tongi,Dhakeshwari Orphanage,28,69
Azampur,Azampur,0,0
Azampur,Mohakhali,11.6,28
Azampur,Farmgate,14.1,35
Azampur,Manik Mia,15.9,39
Azampur,City College,18,44
Azampur,Nilkhet,19.1,47
Azampur,Dhakeshwari Orphanage,20.6,50
Mohakhali,Mohakhali,0,0
Mohakhali,Farmgate,2.5,10
Mohakhali,Manik Mia,4.3,11
Mohakhali,City College,6.4,16
Mohakhali,Nilkhet,7.5,18
Mohakhali,Dhakeshwari Orphanage,9,22
Farmgate,Farmgate,0,0
Farmgate,Manik Mia,1.8,10
Farmgate,City College,3.9,10
Farmgate,Nilkhet,5,12
Farmgate,Dhakeshwari Orphanage,6.5,16
Manik Mia,Manik Mia,0,0
Manik Mia,City College,2.1,10
Manik Mia,Nilkhet,3.2,10
Manik Mia,Dhakeshwari Orphanage,4.7,12
City College,City College,0,0
City College,Nilkhet,1.1,10
City College,Dhakeshwari Orphanage,2.6,10
Nilkhet,Nilkhet,0,0
Nilkhet,Dhakeshwari Orphanage,1.5,10
Dhakeshwari Orphanage,Dhakeshwari Orphanage,0,0
Phulbaria,Phulbaria,0,0
Phulbaria,Mogbazar,4.2,10
Phulbaria,Nabisco,8.4,21
Phulbaria,Mohakhali,9.4,23
Phulbaria,Banani,11.1,27
Phulbaria,Airport,19.8,49
Phulbaria,Tongi,25,61
Phulbaria,Gazipur Chowrasta,36.5,89
Phulbaria,Rajendrapur Chow.,48.6,119
Phulbaria,Hotapara,52.3,128
Phulbaria,Bagher Bazar,57.3,140
Phulbaria,Maona Chowrasta,60,147
Phulbaria,Sreepur,70.6,173
Phulbaria,Bormi,77.5,190
Mogbazar,Mogbazar,0,0
Mogbazar,Nabisco,4.2,10
Mogbazar,Mohakhali,5.2,13
Mogbazar,Banani,6.9,17
Mogbazar,Airport,15.6,38
Mogbazar,Tongi,20.8,51
Mogbazar,Gazipur Chowrasta,32.3,79
Mogbazar,Rajendrapur Chow.,44.4,109
Mogbazar,Hotapara,48.1,118
Mogbazar,Bagher Bazar,53.1,130
Mogbazar,Maona Chowrasta,55.8,137
Mogbazar,Sreepur,66.4,163
Mogbazar,Bormi,73.3,180
Nabisco,Nabisco,0,0
Nabisco,Mohakhali,1,10
Nabisco,Banani,2.7,10
Nabisco,Airport,11.4,28
Nabisco,Tongi,16.6,41
Nabisco,Gazipur Chowrasta,28.1,69
Nabisco,Rajendrapur Chow.,40.2,98
Nabisco,Hotapara,43.9,108
Nabisco,Bagher Bazar,48.9,120
Nabisco,Maona Chowrasta,51.6,126
Nabisco,Sreepur,62.2,152
Nabisco,Bormi,69.1,169
Mohakhali,Mohakhali,0,0
Mohakhali,Banani,1.7,10
Mohakhali,Airport,10.4,25
Mohakhali,Tongi,15.6,38
Mohakhali,Gazipur Chowrasta,27.1,66
Mohakhali,Rajendrapur Chow.,39.2,96
Mohakhali,Hotapara,42.9,105
Mohakhali,Bagher Bazar,47.9,117
Mohakhali,Maona Chowrasta,50.6,124
Mohakhali,Sreepur,61.2,150
Mohakhali,Bormi,68.1,167
Banani,Banani,0,0
Banani,Airport,8.7,21
Banani,Tongi,13.9,34
Banani,Gazipur Chowrasta,25.4,62
Banani,Rajendrapur Chow.,37.5,92
Banani,Hotapara,41.2,101
Banani,Bagher Bazar,46.2,113
Banani,Maona Chowrasta,48.9,120
Banani,Sreepur,59.5,146
Banani,Bormi,66.4,163
Airport,Airport,0,0
Airport,Tongi,5.2,13
Airport,Gazipur Chowrasta,16.7,41
Airport,Rajendrapur Chow.,28.8,71
Airport,Hotapara,32.5,80
Airport,Bagher Bazar,37.5,92
Airport,Maona Chowrasta,40.2,98
Airport,Sreepur,50.8,124
Airport,Bormi,57.7,141
Tongi,Tongi,0,0
Tongi,Gazipur Chowrasta,11.5,28
Tongi,Rajendrapur Chow.,23.6,58
Tongi,Hotapara,27.3,67
Tongi,Bagher Bazar,32.3,79
Tongi,Maona Chowrasta,35,86
Tongi,Sreepur,45.6,112
Tongi,Bormi,52.5,129
Gazipur Chowrasta,Gazipur Chowrasta,0,0
Gazipur Chowrasta,Rajendrapur Chow.,12.1,30
Gazipur Chowrasta,Hotapara,15.8,39
Gazipur Chowrasta,Bagher Bazar,20.8,51
Gazipur Chowrasta,Maona Chowrasta,23.5,58
Gazipur Chowrasta,Sreepur,34.1,84
Gazipur Chowrasta,Bormi,41,100
Rajendrapur Chow.,Rajendrapur Chow.,0,0
Rajendrapur Chow.,Hotapara,3.7,10
Rajendrapur Chow.,Bagher Bazar,8.7,21
Rajendrapur Chow.,Maona Chowrasta,11.4,28
Rajendrapur Chow.,Sreepur,22,54
Rajendrapur Chow.,Bormi,28.9,71
Hotapara,Hotapara,0,0
Hotapara,Bagher Bazar,5,12
Hotapara,Maona Chowrasta,7.7,19
Hotapara,Sreepur,18.3,45
Hotapara,Bormi,25.2,62
Bagher Bazar,Bagher Bazar,0,0
Bagher Bazar,Maona Chowrasta,2.7,10
Bagher Bazar,Sreepur,13.3,33
Bagher Bazar,Bormi,20.2,49
Maona Chowrasta,Maona Chowrasta,0,0
Maona Chowrasta,Sreepur,10.6,26
Maona Chowrasta,Bormi,17.5,43
Sreepur,Sreepur,0,0
Sreepur,Bormi,6.9,17
Bormi,Bormi,0,0
Phulbaria,Phulbaria,0,0
Phulbaria,Kakrail,2,10
Phulbaria,Mogbazar,4.2,10
Phulbaria,Mohakhali,9.4,23
Phulbaria,Kakoli,11.1,27
Phulbaria,Airport,19.8,49
Phulbaria,Tongi,25,61
Phulbaria,Gazipur Chowrasta,36.5,89
Phulbaria,Gazipur,41.5,102
Kakrail,Kakrail,0,0
Kakrail,Mogbazar,2.2,10
Kakrail,Mohakhali,7.4,18
Kakrail,Kakoli,9.1,22
Kakrail,Airport,17.8,44
Kakrail,Tongi,23,56
Kakrail,Gazipur Chowrasta,34.5,85
Kakrail,Gazipur,39.5,97
Mogbazar,Mogbazar,0,0
Mogbazar,Mohakhali,5.2,13
Mogbazar,Kakoli,6.9,17
Mogbazar,Airport,15.6,38
Mogbazar,Tongi,20.8,51
Mogbazar,Gazipur Chowrasta,32.3,79
Mogbazar,Gazipur,37.3,91
Mohakhali,Mohakhali,0,0
Mohakhali,Kakoli,1.7,10
Mohakhali,Airport,10.4,25
Mohakhali,Tongi,15.6,38
Mohakhali,Gazipur Chowrasta,27.1,66
Mohakhali,Gazipur,32.1,79
Kakoli,Kakoli,0,0
Kakoli,Airport,8.7,21
Kakoli,Tongi,13.9,34
Kakoli,Gazipur Chowrasta,25.4,62
Kakoli,Gazipur,30.4,74
Airport,Airport,0,0
Airport,Tongi,5.2,13
Airport,Gazipur Chowrasta,16.7,41
Airport,Gazipur,21.7,53
Tongi,Tongi,0,0
Tongi,Gazipur Chowrasta,11.5,28
Tongi,Gazipur,16.5,40
Gazipur Chowrasta,Gazipur Chowrasta,0,0
Gazipur Chowrasta,Gazipur,5,12
Gazipur,Gazipur,0,0
Duaripara,Duaripara,0,0
Duaripara,Proshika,2,10
Duaripara,Mirpur Thana,2.4,10
Duaripara,Mirpur-1,3.7,10
Duaripara,Ansar Camp,4.6,11
Duaripara,Technical,5.5,13
Duaripara,Asadgate,9.1,22
Duaripara,Science Lab,11.8,29
Duaripara,BUET,14.9,37
Duaripara,Gulistan,16.7,41
Proshika,Proshika,0,0
Proshika,Mirpur Thana,0.4,10
Proshika,Mirpur-1,1.7,10
Proshika,Ansar Camp,2.6,10
Proshika,Technical,3.5,10
Proshika,Asadgate,7.1,17
Proshika,Science Lab,9.8,24
Proshika,BUET,12.9,32
Proshika,Gulistan,14.7,36
Mirpur Thana,Mirpur Thana,0,0
Mirpur Thana,Mirpur-1,1.3,10
Mirpur Thana,Ansar Camp,2.2,10
Mirpur Thana,Technical,3.1,10
Mirpur Thana,Asadgate,6.7,16
Mirpur Thana,Science Lab,9.4,23
Mirpur Thana,BUET,12.5,31
Mirpur Thana,Gulistan,14.3,35
Mirpur-1,Mirpur-1,0,0
Mirpur-1,Ansar Camp,0.9,10
Mirpur-1,Technical,1.8,10
Mirpur-1,Asadgate,5.4,13
Mirpur-1,Science Lab,8.1,20
Mirpur-1,BUET,11.2,27
Mirpur-1,Gulistan,13,32
Ansar Camp,Ansar Camp,0,0
Ansar Camp,Technical,0.9,10
Ansar Camp,Asadgate,4.5,11
Ansar Camp,Science Lab,7.2,18
Ansar Camp,BUET,10.3,25
Ansar Camp,Gulistan,12.1,30
Technical,Technical,0,0
Technical,Asadgate,3.6,10
Technical,Science Lab,6.3,15
Technical,BUET,9.4,23
Technical,Gulistan,11.2,27
Asadgate,Asadgate,0,0
Asadgate,Science Lab,2.7,10
Asadgate,BUET,5.8,14
Asadgate,Gulistan,7.6,19
Science Lab,Science Lab,0,0
Science Lab,BUET,3.1,10
Science Lab,Gulistan,4.9,12
BUET,BUET,0,0
BUET,Gulistan,1.8,10
Gulistan,Gulistan,0,0
Phulbaria,Phulbaria,0,0
Phulbaria,High Court,0.7,10
Phulbaria,Motsyabhaban,1.2,10
Phulbaria,Shahbag,3.4,10
Phulbaria,Science Lab,4.9,12
